Symbol,Ticker,Cash ,Name,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last,,,,name,ID_BB_GLOBAL,ID SEP,FUT_CONT_SIZE,px_last,FUT_CONT_SIZE
,HDFCL,HDFCLIFE IS Equity,HDFC LIFE INSURANCE CO LTD,HDFCL=Q5 is equity,HDFCL=U5 is equity,HDFC LIFE INSURA Aug25,HDFC LIFE INSURA Sep25,BBG01V9XSB85,BBG01VT8QDZ6,1100,1100,788.45,,,,HDFC LIFE INSURA Sep25,BBG01V9XSB85,BBG01VT8QDZ6,1100,774.25,1100
HEROMOTOCO,HMCL,HMCL IS Equity,HERO MOTOCORP LTD,HMCL=Q5 is equity,HMCL=U5 is equity,Hero Motocorp Ltd Aug25,Hero Motocorp Ltd Sep25,BBG01V9XSGJ2,BBG01VT8QK08,150,150,4749.7,,,,Hero Motocorp Ltd Sep25,BBG01V9XSGJ2,BBG01VT8QK08,150,5087.8,150
,HMFC,HMFC IS Equity,HFCL LTD,HMFC=Q5 is equity,HMFC=U5 is equity,HFCL LTD Aug25,HFCL LTD Sep25,BBG01V9XSD72,BBG01VT8QH41,6450,6450,71.19,,,,HFCL LTD Sep25,BBG01V9XSD72,BBG01VT8QH41,6450,71.79,6450
HINDALCO,HNDL,HNDL IS Equity,HINDALCO INDUSTRIES LTD,HNDL=Q5 is equity,HNDL=U5 is equity,Hindalco Industry Aug25,Hindalco Industry Sep25,BBG01V9XSGZ4,BBG01VT8QKF2,1400,1400,693.65,,,,Hindalco Industry Sep25,BBG01V9XSGZ4,BBG01VT8QKF2,1400,704.5,1400
,HPCL,HPCL IS Equity,HINDUSTAN PETROLEUM CORP,HPCL=Q5 is equity,HPCL=U5 is equity,Hindustan Petrolm Aug25,Hindustan Petrolm Sep25,BBG01V9XSG93,BBG01VT8QJT0,2025,2025,398.9,,,,Hindustan Petrolm Sep25,BBG01V9XSG93,BBG01VT8QJT0,2025,383.3,2025
HINDUNILVR,HUVR,HUVR IS Equity,HINDUSTAN UNILEVER LTD,HUVR=Q5 is equity,HUVR=U5 is equity,HINDUSTAN UNILEV Aug25,HINDUSTAN UNILEV Sep25,BBG01V9XSHG3,BBG01VT8QKV4,300,300,2501.1,,,,HINDUSTAN UNILEV Sep25,BBG01V9XSHG3,BBG01VT8QKV4,300,2688.8,300
HINDZINC,HZ,HZ IS Equity,HINDUSTAN ZINC LTD,HZ=Q5 is equity,HZ=U5 is equity,Hindustan Zinc Ltd Aug25,Hindustan Zinc Ltd Sep25,BBG01V9XSGK0,BBG01VT8QK17,1225,1225,423.4,,,,Hindustan Zinc Ltd Sep25,BBG01V9XSGK0,BBG01VT8QK17,1225,429.6,1225
,HUDCO,HUDCO IS Equity,HOUSING & URBAN DEV CORP LTD,HUDCO=Q5 is equity,HUDCO=U5 is equity,HOUSING & URBAN Aug25,HOUSING & URBAN Sep25,BBG01V9XSCP4,BBG01VT8QGL4,2775,2775,207.54,,,,HOUSING & URBAN Sep25,BBG01V9XSCP4,BBG01VT8QGL4,2775,208.13,2775
ICICIBANK,ICICI,ICICIBC IS Equity,ICICI BANK LTD,ICICI=Q5 is equity,ICICI=U5 is equity,ICICI Bank Aug25,ICICI Bank Sep25,BBG01V9XSJ60,BBG01VT8QM40,700,700,1433.4,,,,ICICI Bank Sep25,BBG01V9XSJ60,BBG01VT8QM40,700,1416.8,700
,ICICG,ICICIGI IS Equity,ICICI LOMBARD GENERAL INSURA,ICICG=Q5 is equity,ICICG=U5 is equity,ICICI Lombard GIC Aug25,ICICI Lombard GIC Sep25,BBG01V9XSBF7,BBG01VT8QF54,325,325,1918.5,,,,ICICI Lombard GIC Sep25,BBG01V9XSBF7,BBG01VT8QF54,325,1874.3,325
ICICIPRULI,IPRU,IPRU IS Equity,ICICI PRUDENTIAL LIFE INSURA,IPRU=Q5 is equity,IPRU=U5 is equity,ICICI PRUDENTIAL Aug25,ICICI PRUDENTIAL Sep25,BBG01V9XSLK9,BBG01VT8QPQ9,925,925,630.85,,,,ICICI PRUDENTIAL Sep25,BBG01V9XSLK9,BBG01VT8QPQ9,925,615.75,925
,IDEA,IDEA IS Equity,VODAFONE IDEA LTD,IDEA=Q5 is equity,IDEA=U5 is equity,VODAFONE IDEA LT Aug25,VODAFONE IDEA LT Sep25,BBG01V9XSK12,BBG01VT8QN02,71475,71475,6.2,,,,VODAFONE IDEA LT Sep25,BBG01V9XSK12,BBG01VT8QN02,71475,6.71,71475
,IDFCF,IDFCFB IS Equity,IDFC FIRST BANK LTD,IDFCF=Q5 is equity,IDFCF=U5 is equity,IDFC First Bank Aug25,IDFC First Bank Sep25,BBG01V9XSL38,BBG01VT8QP16,9275,9275,69.42,,,,IDFC First Bank Sep25,BBG01V9XSL38,BBG01VT8QP16,9275,68.85,9275
,IEX,IEX IS Equity,INDIAN ENERGY EXCHANGE LTD,IEX=Q5 is equity,IEX=U5 is equity,INDIAN ENERGY EX Aug25,INDIAN ENERGY EX Sep25,BBG01V9XSC47,BBG01VT8QG16,3750,3750,140.56,,,,INDIAN ENERGY EX Sep25,BBG01V9XSC47,BBG01VT8QG16,3750,141.49,3750
,IGL,IGL IS Equity,INDRAPRASTHA GAS LTD,IGL=Q5 is equity,IGL=U5 is equity,INDRAPRASTHA GAS Aug25,INDRAPRASTHA GAS Sep25,BBG01V9XSJP9,BBG01VT8QMM0,2750,2750,205.56,,,,INDRAPRASTHA GAS Sep25,BBG01V9XSJP9,BBG01VT8QMM0,2750,207.81,2750
,IIFL,IIFL IS Equity,IIFL FINANCE LTD,IIFL=Q5 is equity,IIFL=U5 is equity,IIFL FINANCE LTD Aug25,IIFL FINANCE LTD Sep25,BBG01V9XSF22,BBG01VT8QHL2,1650,1650,449.25,,,,IIFL FINANCE LTD Sep25,BBG01V9XSF22,BBG01VT8QHL2,1650,449.6,1650
,IH,IH IS Equity,INDIAN HOTELS CO LTD,IH=Q5 is equity,IH=U5 is equity,INDIAN HOTELS LTD Aug25,INDIAN HOTELS LTD Sep25,BBG01V9XSHM6,BBG01VT8QL06,1000,1000,765.45,,,,INDIAN HOTELS LTD Sep25,BBG01V9XSHM6,BBG01VT8QL06,1000,770.05,1000
,INBK,INBK IS Equity,INDIAN BANK,INBK=Q5 is equity,INBK=U5 is equity,INDIAN BANK Aug25,INDIAN BANK Sep25,BBG01V9XSK03,BBG01VT8QMZ6,1000,1000,668.15,,,,INDIAN BANK Sep25,BBG01V9XSK03,BBG01VT8QMZ6,1000,655.05,1000
,INDIG,INDIGO IS Equity,INTERGLOBE AVIATION LTD,INDIG=Q5 is equity,INDIG=U5 is equity,INTERGLOBE AVIAT Aug25,INTERGLOBE AVIAT Sep25,BBG01V9XSL74,BBG01VT8QP34,150,150,5983,,,,INTERGLOBE AVIAT Sep25,BBG01V9XSL74,BBG01VT8QP34,150,6037,150
INDUSINDBK,IIB,IIB IS Equity,INDUSIND BANK LTD,IIB=Q5 is equity,IIB=U5 is equity,INDUSIND BANK Aug25,INDUSIND BANK Sep25,BBG01V9XSJ79,BBG01VT8QM59,700,700,777.6,,,,INDUSIND BANK Sep25,BBG01V9XSJ79,BBG01VT8QM59,700,757,700
INDUSTOWER,INDUS,INDUSTOW IS Equity,INDUS TOWERS LTD,INDUS=Q5 is equity,INDUS=U5 is equity,INDUS TOWERS LTD Aug25,INDUS TOWERS LTD Sep25,BBG01V9XSKT2,BBG01VT8QNS2,1700,1700,333.45,,,,INDUS TOWERS LTD Sep25,BBG01V9XSKT2,BBG01VT8QNS2,1700,342.25,1700
INFY,INFO,INFO IS Equity,INFOSYS LTD,INFO=Q5 is equity,INFO=U5 is equity,Infosys Ltd Aug25,Infosys Ltd Sep25,BBG01V9XSGL9,BBG01VT8QK26,400,400,1455.5,,,,Infosys Ltd Sep25,BBG01V9XSGL9,BBG01VT8QK26,400,1528.7,400
,INXW,INXW IS Equity,INOX WIND LTD,INXW=Q5 is equity,INXW=U5 is equity,INOX WIND LTD Aug25,INOX WIND LTD Sep25,BBG01V9XSF86,BBG01VT8QHR6,3272,3272,137.82,,,,INOX WIND LTD Sep25,BBG01V9XSF86,BBG01VT8QHR6,3272,142.05,3272
,IOCL,IOCL IS Equity,INDIAN OIL CORP LTD,IOCL=Q5 is equity,IOCL=U5 is equity,Indian Oil Corp Aug25,Indian Oil Corp Sep25,BBG01V9XSJ15,BBG01VT8QLZ8,4875,4875,142.21,,,,Indian Oil Corp Sep25,BBG01V9XSJ15,BBG01VT8QLZ8,4875,139.18,4875
,IRB,IRB IS Equity,IRB INFRASTRUCTURE DEVELOPER,IRB=Q5 is equity,NA,IRB INFRASTRUCTURE Aug25,#N/A Invalid Security,BBG01V9XSK58,#N/A Invalid Security,11675,#N/A Invalid Security,44.56,,,,#N/A Invalid Security,BBG01V9XSK58,#N/A Invalid Security,11675,44.15,#N/A Invalid Security
,IRCTC,IRCTC IS Equity,INDIAN RAILWAY CATERING & TO,IRCTC=Q5 is equity,IRCTC=U5 is equity,IRCTC LTD Aug25,IRCTC LTD Sep25,BBG01V9XSBW8,BBG01VT8QFB7,875,875,725.25,,,,IRCTC LTD Sep25,BBG01V9XSBW8,BBG01VT8QFB7,875,716.2,875
,IREDA,IREDA IS Equity,INDIAN RENEWABLE ENERGY DEVE,IREDA=Q5 is equity,IREDA=U5 is equity,INDIAN RENEWABLE E Aug25,INDIAN RENEWABLE E Sep25,BBG01V9XSF59,BBG01VT8QHP8,3450,3450,143.58,,,,INDIAN RENEWABLE E Sep25,BBG01V9XSF59,BBG01VT8QHP8,3450,144.19,3450
,IRFC,IRFC IS Equity,INDIAN RAILWAY FINANCE CORP,IRFC=Q5 is equity,IRFC=U5 is equity,INDIAN RAILWAY F Aug25,INDIAN RAILWAY F Sep25,BBG01V9XSCQ3,BBG01VT8QGM3,4250,4250,125.12,,,,INDIAN RAILWAY F Sep25,BBG01V9XSCQ3,BBG01VT8QGM3,4250,121.08,4250
,ITC,ITC IS Equity,ITC LTD,ITC=Q5 is equity,ITC=U5 is equity,ITC Limited Aug25,ITC Limited Sep25,BBG01V9XSHN5,BBG01VT8QL15,1600,1600,414.25,,,,ITC Limited Sep25,BBG01V9XSHN5,BBG01VT8QL15,1600,402.9,1600
JINDALSTEL,JSP,JSP IS Equity,JINDAL STEEL & POWER LTD,JSP=Q5 is equity,JSP=U5 is equity,JINDAL STEEL & P Aug25,JINDAL STEEL & P Sep25,BBG01V9XSJC3,BBG01VT8QM95,625,625,983.1,,,,JINDAL STEEL & P Sep25,BBG01V9XSJC3,BBG01VT8QM95,625,977.35,625
JIOFIN,JIOFI,JIOFIN IS Equity,JIO FINANCIAL SERVICES LTD,JIOFI=Q5 is equity,JIOFI=U5 is equity,JIO FINANCIAL SE Aug25,JIO FINANCIAL SE Sep25,BBG01V9XSCR2,BBG01VT8QGN2,2350,2350,326.8,,,,JIO FINANCIAL SE Sep25,BBG01V9XSCR2,BBG01VT8QGN2,2350,315.3,2350
,JDSL,JDSL IS Equity,JINDAL STAINLESS LTD,JDSL=Q5 is equity,NA,JINDAL STAINLESS Aug25,#N/A Invalid Security,BBG01V9XSCS1,#N/A Invalid Security,850,#N/A Invalid Security,719.35,,,,#N/A Invalid Security,BBG01V9XSCS1,#N/A Invalid Security,850,796.8,#N/A Invalid Security
JSWENERGY,JSW,JSW IS Equity,JSW ENERGY LTD,JSW=Q5 is equity,JSW=U5 is equity,JSW ENERGY LTD Aug25,JSW ENERGY LTD Sep25,BBG01V9XSKB1,BBG01VT8QN93,1000,1000,532,,,,JSW ENERGY LTD Sep25,BBG01V9XSKB1,BBG01VT8QN93,1000,511.5,1000
,JSTL,JSTL IS Equity,JSW STEEL LTD,JSTL=Q5 is equity,JSTL=U5 is equity,JSW Steel Limited Aug25,JSW Steel Limited Sep25,BBG01V9XSGM8,BBG01VT8QK35,675,675,1050.3,,,,JSW Steel Limited Sep25,BBG01V9XSGM8,BBG01VT8QK35,675,1047.9,675
JUBLFOOD,JUBI,JUBI IS Equity,JUBILANT FOODWORKS LTD,JUBI=Q5 is equity,JUBI=U5 is equity,JUBILANT FOODWOR Aug25,JUBILANT FOODWOR Sep25,BBG01V9XSKC0,BBG01VT8QNB0,1250,1250,641,,,,JUBILANT FOODWOR Sep25,BBG01V9XSKC0,BBG01VT8QNB0,1250,641.5,1250
,KALYA,KALYANKJ IS Equity,KALYAN JEWELLERS INDIA LTD,KALYA=Q5 is equity,KALYA=U5 is equity,KALYAN JEWELLERS Aug25,KALYAN JEWELLERS Sep25,BBG01V9XSCT0,BBG01VT8QGP0,1175,1175,523.3,,,,KALYAN JEWELLERS Sep25,BBG01V9XSCT0,BBG01VT8QGP0,1175,497.7,1175
,KEII,KEII IS Equity,KEI INDUSTRIES LTD,KEII=Q5 is equity,KEII=U5 is equity,KEI INDUS LTD Aug25,KEI INDUS LTD Sep25,BBG01V9XSCV7,BBG01VT8QGQ9,175,175,3767.4,,,,KEI INDUS LTD Sep25,BBG01V9XSCV7,BBG01VT8QGQ9,175,3872,175
KOTAKBANK,KMB,KMB IS Equity,KOTAK MAHINDRA BANK LTD,KMB=Q5 is equity,KMB=U5 is equity,Kotak Mahindra Bk Aug25,Kotak Mahindra Bk Sep25,BBG01V9XSGN7,BBG01VT8QK44,400,400,1994.4,,,,Kotak Mahindra Bk Sep25,BBG01V9XSGN7,BBG01VT8QK44,400,1966.5,400
,KPITT,KPITTECH IS Equity,KPIT TECHNOLOGIES LTD,KPITT=Q5 is equity,KPITT=U5 is equity,KPIT TECHNOLOGIE Aug25,KPIT TECHNOLOGIE Sep25,BBG01V9XSCX5,BBG01VT8QGR8,400,400,1219,,,,KPIT TECHNOLOGIE Sep25,BBG01V9XSCX5,BBG01VT8QGR8,400,1203.2,400
,LAURU,LAURUS IS Equity,LAURUS LABS LTD,LAURU=Q5 is equity,LAURU=U5 is equity,LAURUS LABS LTD Aug25,LAURUS LABS LTD Sep25,BBG01V9XSCC8,BBG01VT8QG98,1700,1700,874.45,,,,LAURUS LABS LTD Sep25,BBG01V9XSCC8,BBG01VT8QG98,1700,868.35,1700
,LICHF,LICHF IS Equity,LIC HOUSING FINANCE LTD,LICHF=Q5 is equity,LICHF=U5 is equity,LIC Housing Fin Aug25,LIC Housing Fin Sep25,BBG01V9XSGP5,BBG01VT8QK53,1000,1000,564.6,,,,LIC Housing Fin Sep25,BBG01V9XSGP5,BBG01VT8QK53,1000,561.1,1000
,LICI,LICI IS Equity,LIFE INSURANCE CORPORATION,LICI=Q5 is equity,LICI=U5 is equity,LIC INSURANCE CO Aug25,LIC INSURANCE CO Sep25,BBG01V9XSCY4,BBG01VT8QGS7,700,700,888,,,,LIC INSURANCE CO Sep25,BBG01V9XSCY4,BBG01VT8QGS7,700,886.75,700
,LODHA,LODHA IS Equity,LODHA DEVELOPERS LTD,LODHA=Q5 is equity,LODHA=U5 is equity,LODHA DEVELOPERS Aug25,LODHA DEVELOPERS Sep25,BBG01V9XSCZ3,BBG01VT8QGT6,450,450,1229.3,,,,LODHA DEVELOPERS Sep25,BBG01V9XSCZ3,BBG01VT8QGT6,450,1235,450
,LT,LT IS Equity,LARSEN & TOUBRO LTD,LT=Q5 is equity,LT=U5 is equity,Larsen & Toubro Aug25,Larsen & Toubro Sep25,BBG01V9XSH64,BBG01VT8QKM4,175,175,3678.8,,,,Larsen & Toubro Sep25,BBG01V9XSH64,BBG01VT8QKM4,175,3543.9,175
,LTF,LTF IS Equity,L&T FINANCE LTD,LTF=Q5 is equity,LTF=U5 is equity,L&T FINANCE HOLD Aug25,L&T FINANCE HOLD Sep25,BBG01V9XSKJ3,BBG01VT8QNJ2,4462,4462,200.44,,,,L&T FINANCE HOLD Sep25,BBG01V9XSKJ3,BBG01VT8QNJ2,4462,219.8,4462
,LTIM,LTIM IS Equity,LTIMINDTREE LTD,LTIM=Q5 is equity,LTIM=U5 is equity,LTIMindtree LTD Aug25,LTIMindtree LTD Sep25,BBG01V9XSB67,BBG01VT8QDX8,150,150,5167.5,,,,LTIMindtree LTD Sep25,BBG01V9XSB67,BBG01VT8QDX8,150,5180,150
,LPC,LPC IS Equity,LUPIN LTD,LPC=Q5 is equity,LPC=U5 is equity,Lupin Ltd Aug25,Lupin Ltd Sep25,BBG01V9XSGQ4,BBG01VT8QK62,425,425,1984.5,,,,Lupin Ltd Sep25,BBG01V9XSGQ4,BBG01VT8QK62,425,1922.6,425
M&M,MM,MM IS Equity,MAHINDRA & MAHINDRA LTD,MM=Q5 is equity,MM=U5 is equity,MAHINDRA & MAHIN Aug25,MAHINDRA & MAHIN Sep25,BBG01V9XSH73,BBG01VT8QKN3,200,200,3287.5,,,,MAHINDRA & MAHIN Sep25,BBG01V9XSH73,BBG01VT8QKN3,200,3335.5,200
,MGFL,MGFL IS Equity,MANAPPURAM FINANCE LTD,MGFL=Q5 is equity,MGFL=U5 is equity,MANAPPURAM FINAN Aug25,MANAPPURAM FINAN Sep25,BBG01V9XSLL8,BBG01VT8QPV3,3000,3000,263.65,,,,MANAPPURAM FINAN Sep25,BBG01V9XSLL8,BBG01VT8QPV3,3000,267.15,3000
MARICO,MRCO,MRCO IS Equity,MARICO LTD,MRCO=Q5 is equity,MRCO=U5 is equity,MARICO LTD Aug25,MARICO LTD Sep25,BBG01V9XSKV9,BBG01VT8QNT1,1200,1200,709.55,,,,MARICO LTD Sep25,BBG01V9XSKV9,BBG01VT8QNT1,1200,718.6,1200
MARUTI,MSIL,MSIL IS Equity,MARUTI SUZUKI INDIA LTD,MSIL=Q5 is equity,MSIL=U5 is equity,Maruti Suzuki Aug25,Maruti Suzuki Sep25,BBG01V9XSJN1,BBG01VT8QML1,50,50,12899,,,,Maruti Suzuki Sep25,BBG01V9XSJN1,BBG01VT8QML1,50,14664,50
,MAXHE,MAXHEALT IS Equity,MAX HEALTHCARE INSTITUTE LTD,MAXHE=Q5 is equity,MAXHE=U5 is equity,MAX HEALTHCARE I Aug25,MAX HEALTHCARE I Sep25,BBG01V9XSD09,BBG01VT8QGV3,525,525,1226.7,,,,MAX HEALTHCARE I Sep25,BBG01V9XSD09,BBG01VT8QGV3,525,1183.5,525
,MCX,MCX IS Equity,MULTI COMMODITY EXCH INDIA,MCX=Q5 is equity,MCX=U5 is equity,MCX INDIA LTD Aug25,MCX INDIA LTD Sep25,BBG01V9XSLF5,BBG01VT8QPC4,125,125,8185,,,,MCX INDIA LTD Sep25,BBG01V9XSLF5,BBG01VT8QPC4,125,7689.5,125
MFSL,MAXF,MAXF IS Equity,MAX FINANCIAL SERVICES LTD,MAXF=Q5 is equity,MAXF=U5 is equity,MAX FINANCIAL SE Aug25,MAX FINANCIAL SE Sep25,BBG01V9XSL92,BBG01VT8QP52,800,800,1594,,,,MAX FINANCIAL SE Sep25,BBG01V9XSL92,BBG01VT8QP52,800,1620.6,800
,MOTHE,MOTHERSO IS Equity,SAMVARDHANA MOTHERSON INTERN,MOTHE=Q5 is equity,MOTHE=U5 is equity,SAMVARDHANA M. Aug25,SAMVARDHANA M. Sep25,BBG01V9XSKK1,BBG01VT8QNK0,6150,6150,92.32,,,,SAMVARDHANA M. Sep25,BBG01V9XSKK1,BBG01VT8QNK0,6150,93.05,6150
MPHASIS,MPHL,MPHL IS Equity,MPHASIS LTD,MPHL=Q5 is equity,MPHL=U5 is equity,MPHASIS LTD Aug25,MPHASIS LTD Sep25,BBG01V9XSHZ2,BBG01VT8QLX0,275,275,2719.4,,,,MPHASIS LTD Sep25,BBG01V9XSHZ2,BBG01VT8QLX0,275,2875.3,275
,MUTH,MUTH IS Equity,MUTHOOT FINANCE LTD,MUTH=Q5 is equity,MUTH=U5 is equity,MUTHOOT FINANCE Aug25,MUTHOOT FINANCE Sep25,BBG01V9XSL83,BBG01VT8QP43,275,275,2776.5,,,,MUTHOOT FINANCE Sep25,BBG01V9XSL83,BBG01VT8QP43,275,2667.6,275
,NACL,NACL IS Equity,NATIONAL ALUMINIUM CO LTD,NACL=Q5 is equity,NACL=U5 is equity,NATIONAL ALUMIN Aug25,NATIONAL ALUMIN Sep25,BBG01V9XSJ97,BBG01VT8QM77,3750,3750,187.2,,,,NATIONAL ALUMIN Sep25,BBG01V9XSJ97,BBG01VT8QM77,3750,186.25,3750
NAUKRI,INFOE,INFOE IS Equity,INFO EDGE INDIA LTD,INFOE=Q5 is equity,INFOE=U5 is equity,Info Edge India Aug25,Info Edge India Sep25,BBG01V9XSB94,BBG01VT8QF18,375,375,1363.9,,,,Info Edge India Sep25,BBG01V9XSB94,BBG01VT8QF18,375,1393.2,375
,NBCC,NBCC IS Equity,NBCC INDIA LTD,NBCC=Q5 is equity,NBCC=U5 is equity,NBCC INDIA LTD Aug25,NBCC INDIA LTD Sep25,BBG01V9XSLC8,BBG01VT8QP70,6500,6500,103.91,,,,NBCC INDIA LTD Sep25,BBG01V9XSLC8,BBG01VT8QP70,6500,100.92,6500
,NJCC,NJCC IS Equity,NCC LTD,NJCC=Q5 is equity,NJCC=U5 is equity,NCC LTD Aug25,NCC LTD Sep25,BBG01V9XSGR3,BBG01VT8QK71,2700,2700,218.37,,,,NCC LTD Sep25,BBG01V9XSGR3,BBG01VT8QK71,2700,211.8,2700
NESTLEIND,NEST,NEST IS Equity,NESTLE INDIA LTD,NEST=Q5 is equity,NEST=U5 is equity,NESTLE INDIA LTD Aug25,NESTLE INDIA LTD Sep25,BBG01V9XSLG4,BBG01VT8QPD3,500,500,1099.9,,,,NESTLE INDIA LTD Sep25,BBG01V9XSLG4,BBG01VT8QPD3,500,1164.5,500
,NHPC,NHPC IS Equity,NHPC LTD,NHPC=Q5 is equity,NHPC=U5 is equity,NHPC Limited Aug25,NHPC Limited Sep25,BBG01V9XSK85,BBG01VT8QN75,6400,6400,83.36,,,,NHPC Limited Sep25,BBG01V9XSK85,BBG01VT8QN75,6400,79.87,6400
,NMDC,NMDC IS Equity,NMDC LTD,NMDC=Q5 is equity,NMDC=U5 is equity,NMDC Limited Aug25,NMDC Limited Sep25,BBG01V9XSJ06,BBG01VT8QLY9,13500,13500,69.4,,,,NMDC Limited Sep25,BBG01V9XSJ06,BBG01VT8QLY9,13500,69.79,13500
,NTPC,NTPC IS Equity,NTPC LTD,NTPC=Q5 is equity,NTPC=U5 is equity,NTPC Limited Aug25,NTPC Limited Sep25,BBG01V9XSJV2,BBG01VT8QMT3,1500,1500,337.3,,,,NTPC Limited Sep25,BBG01V9XSJV2,BBG01VT8QMT3,1500,333.35,1500
,NYKAA,NYKAA IS Equity,FSN E-COMMERCE VENTURES LTD,NYKAA=Q5 is equity,NYKAA=U5 is equity,FSN E-COMMERCE V Aug25,FSN E-COMMERCE V Sep25,BBG01V9XSD81,BBG01VT8QH69,3125,3125,210.37,,,,FSN E-COMMERCE V Sep25,BBG01V9XSD81,BBG01VT8QH69,3125,230.74,3125
OBEROIRLTY,OBER,OBER IS Equity,OBEROI REALTY LTD,OBER=Q5 is equity,OBER=U5 is equity,OBEROI REALTY LTD Aug25,OBEROI REALTY LTD Sep25,BBG01V9XSC92,BBG01VT8QG70,350,350,1624,,,,OBEROI REALTY LTD Sep25,BBG01V9XSC92,BBG01VT8QG70,350,1636.7,350
,OFSS,OFSS IS Equity,ORACLE FINANCIAL SERVICES,OFSS=Q5 is equity,OFSS=U5 is equity,Oracle Financial Aug25,Oracle Financial Sep25,BBG01V9XSJJ6,BBG01VT8QMG7,75,75,8622,,,,Oracle Financial Sep25,BBG01V9XSJJ6,BBG01VT8QMG7,75,8534.5,75
,OINL,OINL IS Equity,OIL INDIA LTD,OINL=Q5 is equity,OINL=U5 is equity,Oil India Ltd Aug25,Oil India Ltd Sep25,BBG01V9XSK94,BBG01VT8QN84,1400,1400,398.05,,,,Oil India Ltd Sep25,BBG01V9XSK94,BBG01VT8QN84,1400,399.85,1400
,ONGC,ONGC IS Equity,OIL & NATURAL GAS CORP LTD,ONGC=Q5 is equity,ONGC=U5 is equity,OIL & NATURAL GA Aug25,OIL & NATURAL GA Sep25,BBG01V9XSGV8,BBG01VT8QK99,2250,2250,236.05,,,,OIL & NATURAL GA Sep25,BBG01V9XSGV8,BBG01VT8QK99,2250,234.49,2250
,PAG,PAG IS Equity,PAGE INDUSTRIES LTD,PAG=Q5 is equity,PAG=U5 is equity,Page Industries Aug25,Page Industries Sep25,BBG01V9XSKR4,BBG01VT8QNQ4,15,15,43560,,,,Page Industries Sep25,BBG01V9XSKR4,BBG01VT8QNQ4,15,45615,15
,PATAN,PATANJAL IS Equity,PATANJALI FOODS LTD,PATAN=Q5 is equity,PATAN=U5 is equity,PATANJALI FOODS Aug25,PATANJALI FOODS Sep25,BBG01V9XSF31,BBG01VT8QHM1,300,300,1788.7,,,,PATANJALI FOODS Sep25,BBG01V9XSF31,BBG01VT8QHM1,300,1797.6,300
,PAYTM,PAYTM IS Equity,ONE 97 COMMUNICATIONS LTD,PAYTM=Q5 is equity,PAYTM=U5 is equity,ONE 97 COMMUNICA Aug25,ONE 97 COMMUNICA Sep25,BBG01V9XSD90,BBG01VT8QH78,725,725,1148.5,,,,ONE 97 COMMUNICA Sep25,BBG01V9XSD90,BBG01VT8QH78,725,1251.1,725
PERSISTENT,PSYS,PSYS IS Equity,PERSISTENT SYSTEMS LTD,PSYS=Q5 is equity,PSYS=U5 is equity,PERSISTENT SYS Aug25,PERSISTENT SYS Sep25,BBG01V9XSCB9,BBG01VT8QG89,100,100,5282.5,,,,PERSISTENT SYS Sep25,BBG01V9XSCB9,BBG01VT8QG89,100,5387.5,100
,PLNG,PLNG IS Equity,PETRONET LNG LTD,PLNG=Q5 is equity,PLNG=U5 is equity,Petronet LNG Ltd Aug25,Petronet LNG Ltd Sep25,BBG01V9XSJQ8,BBG01VT8QMN9,1800,1800,274.75,,,,Petronet LNG Ltd Sep25,BBG01V9XSJQ8,BBG01VT8QMN9,1800,268.85,1800
PFC,POWF,POWF IS Equity,POWER FINANCE CORPORATION,POWF=Q5 is equity,POWF=U5 is equity,POWER FINANCE Aug25,POWER FINANCE Sep25,BBG01V9XSJZ8,BBG01VT8QMY7,1300,1300,412.55,,,,POWER FINANCE Sep25,BBG01V9XSJZ8,BBG01VT8QMY7,1300,388.55,1300
,PHNX,PHNX IS Equity,PHOENIX MILLS LTD,PHNX=Q5 is equity,PHNX=U5 is equity,PHOENIX MILLS LTD Aug25,PHOENIX MILLS LTD Sep25,BBG01V9XSDM5,BBG01VT8QHH7,350,350,1434,,,,PHOENIX MILLS LTD Sep25,BBG01V9XSDM5,BBG01VT8QHH7,350,1563.6,350
,PIDI,PIDI IS Equity,PIDILITE INDUSTRIES LTD,PIDI=Q5 is equity,PIDI=U5 is equity,PIDILITE INDS Aug25,PIDILITE INDS Sep25,BBG01V9XSKP6,BBG01VT8QNP5,250,250,3074.6,,,,PIDILITE INDS Sep25,BBG01V9XSKP6,BBG01VT8QNP5,250,3103.8,250
PIIND,PI,PI IS Equity,PI INDUSTRIES LTD,PI=Q5 is equity,PI=U5 is equity,PI INDUSTRIES LTD Aug25,PI INDUSTRIES LTD Sep25,BBG01V9XSBX7,BBG01VT8QFD5,175,175,3768.4,,,,PI INDUSTRIES LTD Sep25,BBG01V9XSBX7,BBG01VT8QFD5,175,3792.3,175
,PNB,PNB IS Equity,PUNJAB NATIONAL BANK,PNB=Q5 is equity,PNB=U5 is equity,Punjab Natl Bank Aug25,Punjab Natl Bank Sep25,BBG01V9XSJH8,BBG01VT8QMF8,8000,8000,106.25,,,,Punjab Natl Bank Sep25,BBG01V9XSJH8,BBG01VT8QMF8,8000,102.72,8000
